,_arpt_ident,_name,_state_prov,_icao,_faa_host_id,_loc_hdatum,_wgs_datum,_wgs_lat,_wgs_dlat,_wgs_long,_wgs_dlong,_elev,_type,_mag_var,_wac,_beacon,_second_arpt,_opr_agy,_sec_name,_sec_icao,_sec_faa,_sec_opr_agy,_cycle_date,__id
,MX57243,ZAPOPAN,,MMZP,N,WGE,WGE,N20452100,20.755833,W103275500,-103.465278,05333,C,E007370 0105,0590,,,FM,,,,,200504,3994
,US20510,EKALAKA,30,KZ,K97M,WGE,WGE,N45524000,45.877777,W104321500,-104.537500,03503,D,E009164 1210,0267,Y,,MU,,,,,201103,6729
,AE01079,ARZANAH,,OMAR,N,WGE,WGE,N24464990,24.780528,E052333580,52.559944,00015,D,E001403 0105,0547,,,PV,,,,,200410,3
,AE04602,AL HAMRA AUX,,OMAH,N,WGE,WGE,N24042633,24.073981,E052274912,52.463644,00050,D,E001344 0105,0547,,,MI,,,,,200303,4
,US95671,EARL L SMALL JR FIELD STOCKMAR,13,KZ,20GA,WGE,WGE,N33452360,33.756556,W084530623,-84.885064,01110,D,W004131 1210,0409,Y,,PV,,,,,201103,9601
,UP00006,CHERKASY INTL,,UKKE,N,WGE,WGE,N49245605,49.415569,E031594305,31.995292,00375,D,E006477 1210,0233,,,CI,,,,,201103,5442
,AE52272,DUBAI INTL,,OMDB,DXB,WGE,WGE,N25150511,25.251419,E055221402,55.370561,00063,A,E001419 1210,0548,,,CI,,,,,201101,10
,AE37377,ZIRKU,,OMAZ,N,WGE,WGE,N24514155,24.861542,E053044020,53.077833,00014,D,E001374 0105,0548,,,PV,,,,,200411,9
,US05517,EASTSIDE,35,KZ,NM24,WGE,WGE,N36551804,36.921678,W106333712,-106.560311,08030,D,E009259 0211,0361,,,PV,,,,,201103,5951
,AE52385,YAS ISLAND,,OM,OM10,WGE,WGE,N24170238,24.283994,E052344927,52.580353,00025,D,E001355 0105,0547,,,MI,,,,,200405,11
,AE73364,DAS ISLAND,,OMAS,N,WGE,WGE,N25084639,25.146219,E052522536,52.873711,00012,D,E001416 0105,0547,,,PV,,,,,200410,14
,AE95262,ABU DHABI NORTHEAST,,OM,OM11,WGE,WGE,N24310788,24.518856,E054584823,54.980064,00088,D,E001206 0105,0548,,,UN,,,,,200405,17
