Attribute Synonym,Parent Entity Synonym,Attribute ID,Parent Entity ID,ECCAIRS Datatype,UM default,Valuelist ID,Special Attribute ID,Min Instances,Max Instances,Attribute Sequence
Dew_Point,Occurrence,85,24,4,101,,,0,1,0
Wx_Conditions,Occurrence,127,24,5,,VL127_5_0_1_1,,0,1,1
Dang_Goods_Involved,Occurrence,129,24,5,,VL129_5_0_1_1,,0,1,2
Height_Of_Cloud_Base,Occurrence,140,24,4,2001,,,0,1,3
Light_Conditions,Occurrence,168,24,5,,VL168_5_0_1_1,,0,1,4
Maximum_Gust,Occurrence,176,24,4,401,,,0,1,5
Cloud_Amount,Occurrence,266,24,5,,VL266_5_0_1_1,,0,1,6
Speed_Measured_At,Occurrence,275,24,5,,VL275_5_0_1_1,,0,1,7
Air_Temperature,Occurrence,287,24,4,101,,,0,1,8
Visibility,Occurrence,310,24,4,202,,,0,1,9
Wind_Direction,Occurrence,320,24,4,1001,,,0,1,10
Wind_Gusts,Occurrence,321,24,5,,VL321_5_0_1_1,,0,1,11
Wind_Speed,Occurrence,322,24,4,401,,,0,1,12
ATM_Contribution,Occurrence,428,24,5,,VL428_5_0_1_1,,0,1,13
Occurrence_Category,Occurrence,430,24,5,,VL430_5_0_1_1,,0,-1,14
Occurrence_Class,Occurrence,431,24,5,,VL1015_5_0_1_2,,0,1,15
Highest_Damage,Occurrence,432,24,5,,VL432_5_0_1_1,,0,1,16
Local_Date,Occurrence,433,24,14,,,,0,1,17
Effect_On_ATM_Service,Occurrence,436,24,5,,VL436_5_0_1_1,,0,1,18
Latitude_Of_Occ,Occurrence,439,24,8,,,,0,1,19
Location_Name,Occurrence,440,24,1,,,,0,1,20
Longitude_Of_Occ,Occurrence,444,24,9,,,,0,1,21
Damage_Not_To_A_C,Occurrence,448,24,5,,VL448_5_0_1_1,,0,1,22
Injury_Level,Occurrence,451,24,5,,VL451_5_0_1_1,,0,1,23
File_Number,Occurrence,452,24,1,,,1,1,1,24
Responsible_Entity,Occurrence,453,24,5,,VL1181_5_0_1_3,2,1,1,25
State_Area_Of_Occ,Occurrence,454,24,12,,VL1090_12_0_1_3,,0,1,26
Occurrence_Status,Occurrence,455,24,5,,VL455_5_0_1_1,,0,1,27
Third_Party_Damage,Occurrence,456,24,5,,VL456_5_0_1_2,,0,-1,28
Local_Time,Occurrence,457,24,15,,,,0,1,29
Total_Fatalities_Ground,Occurrence,460,24,3,,,,0,1,30
Total_On_Board_A_C,Occurrence,462,24,3,,,,0,1,31
Total_Injuries-Ground,Occurrence,463,24,3,,,,0,1,32
Total_Minor_Injuries-Ground,Occurrence,469,24,3,,,,0,1,33
Total_Serious_Injuries-Ground,Occurrence,472,24,3,,,,0,1,34
UTC_Date,Occurrence,477,24,14,,,,0,1,35
UTC_Time,Occurrence,478,24,15,,,,0,1,36
Headline,Occurrence,601,24,1,,,,0,1,37
Weather_Relevant,Occurrence,606,24,5,,VL606_5_0_1_1,,0,1,38
Object_Damaged,Occurrence,640,24,5,,VL1028_5_0_1_2,,0,-1,39
Detection_Phase,Occurrence,1072,24,12,,VL1168_12_0_1_1,,0,1,40
Ground_Severity_Applied,Occurrence,1073,24,5,,VL1169_5_0_1_1,,0,1,41
Ground_Severity,Occurrence,1074,24,5,,VL1172_5_0_1_1,,0,1,42
Ground_Repeatability,Occurrence,1075,24,5,,VL1170_5_0_1_1,,0,1,43
Overall_Severity_Applied,Occurrence,1076,24,5,,VL1169_5_0_1_1,,0,1,44
Overall_Severity,Occurrence,1077,24,5,,VL1184_5_0_1_1,,0,1,45
Overall_Repeatability,Occurrence,1078,24,5,,VL1170_5_0_1_1,,0,1,46
Spec_Tech_Severity_Applied,Occurrence,1079,24,5,,VL1169_5_0_1_1,,0,1,47
Spec_Tech_Severity,Occurrence,1080,24,5,,VL1173_5_0_1_1,,0,1,48
Spec_Tech_Repeatability,Occurrence,1081,24,5,,VL1171_5_0_1_1,,0,1,49
Authority_Occ_Closure,Occurrence,1087,24,6,,,,0,1,50
Aviation_Sector,Occurrence,1088,24,5,,VL1176_5_0_1_1,,0,-1,51
Aerodrome_Latitude,Aerodrome_General,1,1,8,,,,0,1,0
Aerodrome_Longitude,Aerodrome_General,2,1,9,,,,0,1,1
Area_Configuration,Aerodrome_General,3,1,5,,VL3_5_0_1_1,,0,1,2
Elevation_Above_MSL,Aerodrome_General,4,1,4,2001,,,0,1,3
Location_Indicator,Aerodrome_General,5,1,12,,VL1085_12_0_1_2,,0,1,4
Aerodrome_Status,Aerodrome_General,7,1,5,,VL7_5_0_1_1,,0,1,5
Surface_Type,Aerodrome_General,8,1,5,,VL8_5_0_1_1,,0,1,6
Landing_Area_Type,Aerodrome_General,9,1,5,,VL9_5_0_1_1,,0,1,7
Aerodrome_Type,Aerodrome_General,10,1,5,,VL10_5_0_1_1,,0,1,8
Location_On_Near_Aerodrome,Aerodrome_General,641,1,12,,VL1038_12_0_1_2,,0,1,9
Narrative_Language,Narrative,424,22,5,,VL1097_5_0_1_1,,0,1,0
Narrative_Text,Narrative,425,22,6,,,,0,1,1
Runway_Identifier,Runway,499,31,1,,,,0,1,0
Surface_Type,Runway,509,31,5,,VL509_5_0_1_1,,0,1,1
Type_Of_Vehicle,Vehicle,733,48,12,,VL1072_12_0_1_1,,0,1,0
Vehicle_Controlled,Vehicle,743,48,5,,VL1094_5_0_1_1,,0,1,1
Wx_Report,Aerodrome_Weather_Reports,177,2,6,,,,0,1,0
Airspace_Class,Air_Space,13,3,5,,VL13_5_0_1_1,,0,1,0
Airspace_Name,Air_Space,14,3,1,,,,0,1,1
Airspace_Type,Air_Space,15,3,5,,VL15_5_0_1_1,,0,-1,2
FIR_UIR_Name,Air_Space,16,3,13,,VL1084_13_0_1_2,,0,1,3
Special_Activities,Air_Space,17,3,5,,VL17_5_0_1_1,,0,-1,4
Manufacturer_Model,Aircraft,21,4,12,,VL1182_12_0_1_4,,0,1,0
Aircraft_Altitude,Aircraft,22,4,4,2001,,,0,1,1
A_C_Flight_Level,Aircraft,25,4,3,,,,0,1,2
Current_Traffic_Type,Aircraft,29,4,5,,VL29_5_0_1_1,,0,1,3
Aircraft_Category,Aircraft,32,4,5,,VL1179_5_0_1_4,,0,1,4
Total_Cycles_A_C,Aircraft,33,4,3,,,,0,1,5
ATS_Route_Name,Aircraft,46,4,1,,,,0,1,6
Call_Sign,Aircraft,54,4,1,,,,0,1,7
Clearance_Validity,Aircraft,57,4,5,,VL57_5_0_1_1,,0,1,8
Cleared_Altitude,Aircraft,58,4,4,2001,,,0,1,9
Cleared_Flight_Level,Aircraft,60,4,3,,,,0,1,10
Controlling_Agency,Aircraft,64,4,5,,VL64_5_0_1_1,,0,1,11
Current_Flight_Rules,Aircraft,79,4,5,,VL79_5_0_1_1,,0,1,12
Total_Number_Fatalities,Aircraft,114,4,3,,,,0,1,13
Filed_Flight_Rules,Aircraft,117,4,5,,VL117_5_0_1_1,,0,1,14
Filed_Traffic_Type,Aircraft,118,4,5,,VL118_5_0_1_1,,0,1,15
Flight_Number,Aircraft,120,4,1,,,,0,1,16
Flight_Phase,Aircraft,121,4,5,,VL121_5_0_1_1,,0,1,17
Total_Number_Of_Persons,Aircraft,152,4,3,,,,0,1,18
Instrument_Appr_Type,Aircraft,165,4,5,,VL165_5_0_1_1,,0,1,19
Landing_Gear_Type,Aircraft,166,4,5,,VL166_5_0_1_2,,0,1,20
Last_Departure_Point,Aircraft,167,4,12,,VL1085_12_0_1_2,,0,1,21
Maximum_T_O_Mass,Aircraft,175,4,4,901,,,0,1,22
Total_Number_Minor_Injuries,Aircraft,187,4,3,,,,0,1,23
Number_Of_Engines,Aircraft,209,4,3,,,,0,1,24
Occ_On_Ground,Aircraft,213,4,5,,VL213_5_0_1_1,,0,1,25
Operation_Type,Aircraft,214,4,5,,VL1178_5_0_1_3,,0,1,26
Operator,Aircraft,215,4,12,,VL1016_12_0_1_3,,0,1,27
Planned_Destination,Aircraft,228,4,12,,VL1085_12_0_1_2,,0,1,28
Propulsion_Type,Aircraft,232,4,5,,VL232_5_0_1_1,,0,1,29
Aircraft_Registration,Aircraft,244,4,1,,,,0,1,30
Rel_Wind_Direction,Aircraft,245,4,5,,VL245_5_0_1_1,,0,1,31
Serial_Number,Aircraft,254,4,1,,,,0,1,32
Total_Number_Serious_Injuries,Aircraft,262,4,3,,,,0,1,33
SID_Route,Aircraft,264,4,1,,,,0,1,34
Speed_First_Event,Aircraft,273,4,4,401,,,0,1,35
Type_Of_Airspeed,Aircraft,276,4,5,,VL276_5_0_1_1,,0,1,36
SSR_Mode,Aircraft,278,4,5,,VL278_5_0_1_1,,0,1,37
State_Of_Registry,Aircraft,281,4,5,,VL1024_5_0_1_2,,0,1,38
Aircraft_Total_Time,Aircraft,291,4,4,1201,,,0,1,39
Turbulence_Intensity,Aircraft,293,4,5,,VL293_5_0_1_1,,0,1,40
Flight_Plan_Type,Aircraft,297,4,5,,VL297_5_0_1_1,,0,1,41
Visib_Restrictions,Aircraft,311,4,5,,VL311_5_0_1_1,,0,-1,42
Wake_Turb_Category,Aircraft,313,4,5,,VL313_5_0_1_1,,0,1,43
Mass_Group,Aircraft,319,4,5,,VL319_5_0_1_1,,0,1,44
Year_Built,Aircraft,327,4,3,,,,0,1,45
Parts_Damaged,Aircraft,643,4,12,,VL1040_12_0_1_1,,0,-1,46
Parts_Struck,Aircraft,644,4,12,,VL1092_12_0_1_1,,0,-1,47
Species_Description,Aircraft,645,4,12,,VL1041_12_0_1_2,,0,-1,48
Birds_Wildlife_Seen,Aircraft,646,4,5,,VL1042_5_0_1_1,,0,1,49
Birds_Wildlife_Struck,Aircraft,647,4,5,,VL1093_5_0_1_1,,0,1,50
Bird_Size,Aircraft,648,4,5,,VL1043_5_0_1_1,,0,1,51
Pilot_Advised_Of_Birds,Aircraft,649,4,5,,VL1066_5_0_1_1,,0,1,52
Time_Deviating_FL,Aircraft,816,4,4,303,,,0,1,53
Cleared_FL_After,Aircraft,817,4,4,,,,0,1,54
Rotorcraft_Mass_Group,Aircraft,1083,4,5,,VL1174_5_0_1_1,,0,1,55
Annex_2_A_C_Type,Aircraft,1090,4,5,,VL1180_5_0_1_2,,0,-1,56
Manufacturer_Model,Engine,387,13,12,,VL1007_12_0_1_2,,0,1,0
Time_Since_Overhaul,Engine,389,13,4,1201,,,0,1,1
Engine_Position,Engine,653,13,3,,,,0,1,2
Nature_Of_Engine_Involvement,Engine,654,13,5,,VL1044_5_0_1_2,,0,1,3
Engine_Serial_Number,Engine,881,13,1,,,,0,1,4
ATA_Chapter_Involved,Engine,882,13,12,,VL1006_12_11000000_1_4,,0,1,5
Time_Since_New,Engine,883,13,4,1201,,,0,1,6
Time_Since_Inspection,Engine,884,13,4,1201,,,0,1,7
Cycles_Since_New,Engine,885,13,3,,,,0,1,8
Cycles_Since_Overhaul,Engine,886,13,3,,,,0,1,9
Cycles_Since_Insp,Engine,887,13,3,,,,0,1,10
Date_Of_Manufacturing,Engine,888,13,14,,,,0,1,11
Date_Overhaul,Engine,889,13,14,,,,0,1,12
Date_Of_Inspection,Engine,890,13,14,,,,0,1,13
Hazard_Eng_Effect,Engine,945,13,5,,VL1143_5_0_1_1,,0,1,14
Category,Flight_Crew_Member,402,17,5,,VL402_5_0_1_1,,0,1,0
Duty_Last_24_Hours,Flight_Crew_Member,403,17,4,1201,,,0,1,1
Rest_Before_Duty,Flight_Crew_Member,408,17,4,1201,,,0,1,2
Experience_All_A_C,Flight_Crew_Member,410,17,4,1201,,,0,1,3
Experience_This_A_C,Flight_Crew_Member,411,17,4,1201,,,0,1,4
Validity,Flight_Crew_Licenses,397,16,5,,VL397_5_0_1_1,,0,1,0
Ratings,Flight_Crew_Licenses,398,16,5,,VL398_5_0_1_1,,0,1,1
License_Issued_By,Flight_Crew_Licenses,399,16,12,,VL399_12_0_1_1,,0,1,2
License_Type,Flight_Crew_Licenses,400,16,5,,VL1012_5_0_1_2,,0,1,3
Date_Of_License,Flight_Crew_Licenses,639,16,14,,,,0,1,4
Person_Incapacitated,Incapacitation,418,20,5,,VL418_5_0_1_1,,0,1,0
Reason_For_Incapacity,Incapacitation,419,20,5,,VL419_5_0_1_1,,0,1,1
